max_pf 108 min_pf 18
individual T0 sigma disp_rate r0 patch_no mut_eff
56 309.748 7.94813 0.01 1 72 3.51667e-06
178 297.214 8.15487 0.01 1 20 0
183 308.391 7.98869 0.01 1 72 0
240 297.214 8.15487 0.01 1 20 0
263 310.43 7.97203 0.01 1 72 0
348 318.321 8.27951 0.01 1 107 0
435 320.813 8.27951 0.01 1 106 0
456 320.317 8.27951 0.01 1 106 0
508 320.908 8.27951 0.01 1 106 0
528 320.68 8.27951 0.01 1 106 0
558 297.214 8.15487 0.01 1 20 0
588 296.4 8.15487 0.01 1 20 0
610 297.214 8.15487 0.01 1 20 0
628 297.214 7.82115 0.01 1 20 0
662 308.773 8.38186 0.01 1 72 0
670 320.813 8.27951 0.01 1 106 0
671 309.051 7.70183 0.01 1 72 0
792 308.533 7.82243 0.01 1 72 0
815 308.391 7.98869 0.01 1 72 0
847 320.317 8.27951 0.01 1 107 0
966 304.027 7.87894 0.01 1 72 0
977 307.188 8.21913 0.01 1 72 0
1013 319.908 8.23607 0.01 1 107 0
1041 309.017 8.16 0.01 1 72 0
1054 307.605 8.04632 0.01 1 72 0
1068 295.596 8.15487 0.01 1 20 0
1138 320.908 8.27951 0.01 1 106 0
1170 320.908 8.27951 0.01 1 106 0
1203 311.183 7.99546 0.01 1 72 0
1215 296.4 8.10559 0.01 1 20 0
1331 320.317 8.27951 0.01 1 106 0
1341 309.263 8.06285 0.01 1 72 0
1382 310.677 7.45186 0.01 1 72 0
1391 308.174 7.77989 0.01 1 72 0
1398 295.808 8.15487 0.01 1 20 0
1432 319.908 8.23607 0.01 1 107 0
1527 308.067 8.00102 0.01 1 72 0
1580 321.47 8.27951 0.01 1 107 0
1605 311.191 8.17751 0.01 1 72 0
1641 295.596 8.15487 0.01 1 20 0
1812 320.317 8.18913 0.01 1 108 0
1828 307.467 7.70183 0.01 1 72 -0.00258943
1856 295.596 8.15862 0.01 1 20 0
1900 296.4 8.20321 0.01 1 20 0
2035 308.174 8.00102 0.01 1 72 0
2055 309.833 7.73449 0.01 1 72 0
2060 308.115 7.70183 0.01 1 72 0
2133 311.538 7.42601 0.01 1 72 0
2228 309.051 7.49009 0.01 1 72 0
2261 309.254 8.00758 0.01 1 72 0
2290 307.237 8.14329 0.01 1 72 -8.37445e-05
2351 309.263 8.06285 0.01 1 72 0
2415 319.908 8.23607 0.01 1 107 0
2425 296.4 8.15487 0.01 1 19 0
2452 309.017 8.16 0.01 1 72 0
2463 308.887 7.84775 0.01 1 72 0
2504 297.214 8.15487 0.01 1 20 0
2506 309.918 8.20696 0.01 1 72 0
2527 295.596 8.23048 0.01 1 19 0
2571 320.908 8.35368 0.01 1 106 0
2657 309.263 8.04632 0.01 1 72 0
2661 306.911 8.11044 0.01 1 72 0
2691 310.43 7.97203 0.01 1 72 0
2730 308.887 7.84775 0.01 1 72 0
2778 296.4 8.15487 0.01 1 19 0
2787 309.577 7.88243 0.01 1 72 0
2808 308.887 7.84775 0.01 1 72 0
2817 309.24 7.46217 0.01 1 72 0
2832 296.4 8.15487 0.01 1 20 0
2836 320.317 8.27951 0.01 1 107 0
2875 320.813 8.27951 0.01 1 106 0
2883 297.214 8.15487 0.01 1 20 0
2934 296.4 8.15487 0.01 1 19 0
2995 320.317 8.33161 0.01 1 107 0
3054 307.104 8.19142 0.01 1 72 0
3069 320.908 8.27951 0.01 1 106 0
3112 311.322 7.57659 0.01 1 72 0
3205 320.908 8.27951 0.01 1 106 0
3245 309.748 7.94813 0.01 1 72 0
3309 310.22 8.24423 0.01 1 72 0
3374 320.317 8.27951 0.01 1 107 0
3545 309.918 8.22069 0.01 1 72 0
3600 309.24 7.435 0.01 1 72 0
3608 296.4 8.20321 0.01 1 20 0
3610 296.4 8.15487 0.01 1 19 0
3622 320.908 8.27951 0.01 1 106 0
3655 320.019 8.27951 0.01 1 106 -0.0085713
3667 309.24 7.435 0.01 1 72 0
3683 297.214 8.15487 0.01 1 20 0
3733 310.344 8.06285 0.01 1 72 0
3770 308.773 8.54456 0.01 1 72 0
3777 309.24 7.435 0.01 1 72 0
3849 296.4 8.11768 0.01 1 20 -0.000634726
3880 307.467 7.70183 0.01 1 72 0
3929 296.4 8.15487 0.01 1 19 0
3952 320.054 8.23607 0.01 1 108 0
3955 320.317 8.24049 0.01 1 106 0
4031 295.596 8.15862 0.01 1 20 0
4081 307.4 7.80399 0.01 1 72 0
4154 295.596 8.23048 0.01 1 20 0
4317 296.4 8.20321 0.01 1 19 0
4354 307.071 7.69943 0.01 1 72 0
4389 295.596 8.23048 0.01 1 19 0
