max_pf 81 min_pf 62
individual T0 sigma disp_rate r0 patch_no mut_eff
0 307.786 8.3903 0.01 1 64 0
2 306.83 7.74954 0.01 1 63 0
14 309.766 7.6388 0.01 1 72 0
19 308.127 7.64557 0.01 1 72 0
22 309.56 7.93269 0.01 1 79 0
33 308.122 8.06491 0.01 1 72 0
35 306.83 7.74954 0.01 1 64 0
48 311.966 7.92517 0.01 1 80 0
50 307.907 7.83579 0.01 1 72 0
51 306.83 7.74954 0.01 1 62 0
52 311.966 7.92517 0.01 1 79 0
54 306.63 8.05968 0.01 1 64 0
59 311.966 7.92517 0.01 1 80 0
73 306.83 7.74954 0.01 1 63 0
74 310.675 7.7344 0.01 1 79 0
78 306.83 7.74954 0.01 1 63 0
85 307.704 7.9591 0.01 1 63 0
93 312.117 7.92517 0.01 1 79 0
100 307.164 7.86208 0.01 1 72 0
103 311.966 7.92517 0.01 1 79 0
104 309.56 7.93269 0.01 1 81 0
114 306.168 7.60788 0.01 1 63 0
116 309.56 7.93269 0.01 1 79 0
119 306.83 7.6241 0.01 1 64 0
120 306.719 7.74954 0.01 1 64 0
125 311.966 7.92517 0.01 1 81 0
131 308.122 8.06491 0.01 1 72 0
133 311.966 7.86684 0.01 1 79 0
135 306.83 7.74954 0.01 1 64 0
137 309.56 7.93269 0.01 1 81 0
138 307.464 7.87617 0.01 1 63 0
142 311.966 7.92517 0.01 1 79 0
147 309.109 7.62373 0.01 1 72 0
161 312.186 7.7635 0.01 1 80 0
177 306.83 7.74954 0.01 1 63 0
189 312.933 7.82443 0.01 1 79 0
192 311.966 7.92517 0.01 1 79 0
194 310.042 8.04853 0.01 1 80 0
195 311.966 7.92517 0.01 1 79 0
199 311.966 7.92517 0.01 1 81 0
200 307.128 7.74954 0.01 1 64 0
204 306.83 7.74954 0.01 1 63 0
205 307.479 8.10187 0.01 1 72 0
209 306.83 7.86028 0.01 1 64 0
210 307.129 8.16313 0.01 1 72 0
218 311.09 7.92517 0.01 1 81 -0.00687696
224 307.772 8.29714 0.01 1 64 0
225 307.827 8.0465 0.01 1 72 0
229 312.344 7.86667 0.01 1 81 -3.12179e-05
230 311.516 7.92517 0.01 1 79 0
241 306.83 7.74954 0.01 1 64 0
243 311.966 7.92282 0.01 1 79 0
250 306.83 7.74954 0.01 1 63 0
251 313.187 8.24005 0.01 1 79 0
253 310.03 7.84996 0.01 1 72 0
273 306.83 7.74954 0.01 1 64 0
279 309.597 7.79839 0.01 1 72 0
288 307.59 8.22173 0.01 1 72 0
297 311.966 7.92517 0.01 1 80 0
307 306.83 7.74954 0.01 1 64 0
316 310.03 7.84996 0.01 1 72 0
317 312.723 7.92517 0.01 1 80 0
323 311.966 7.92517 0.01 1 81 0
328 306.83 7.71042 0.01 1 64 0
331 307.686 8.06491 0.01 1 72 0
333 306.83 7.74954 0.01 1 62 0
338 306.168 7.60788 0.01 1 64 0
341 309.56 7.93269 0.01 1 81 0
343 307.704 7.92035 0.01 1 64 0
344 307.908 8.2013 0.01 1 72 0
348 311.966 7.7635 0.01 1 79 0
350 311.966 7.92517 0.01 1 80 0
366 311.201 7.92517 0.01 1 80 0
368 308.122 8.06491 0.01 1 72 0
369 310.233 7.8935 0.01 1 72 0
378 310.042 8.04853 0.01 1 80 0
382 311.966 7.92517 0.01 1 80 0
388 307.786 8.29714 0.01 1 64 0
389 306.83 7.74954 0.01 1 63 0
390 306.83 7.74954 0.01 1 63 0
394 306.168 7.60788 0.01 1 64 0
395 307.786 8.29714 0.01 1 64 0
397 311.966 7.92517 0.01 1 79 0
403 306.83 7.74954 0.01 1 64 0
406 310.699 7.88217 0.01 1 72 0
415 311.966 7.92517 0.01 1 79 0
420 311.966 7.92517 0.01 1 80 0
421 307.704 7.9591 0.01 1 63 0
426 308.434 7.88123 0.01 1 79 0
435 306.056 7.74954 0.01 1 63 0
437 310.905 7.88123 0.01 1 79 0
443 306.168 7.60788 0.01 1 64 0
444 311.535 7.91706 0.01 1 80 0
457 307.462 8.20828 0.01 1 72 0
460 306.095 7.74954 0.01 1 64 0
462 306.83 7.74954 0.01 1 63 0
463 306.168 7.60788 0.01 1 63 0
467 308.944 7.9591 0.01 1 64 0
468 308.415 7.99204 0.01 1 72 0
479 308.69 8.31058 0.01 1 72 0
488 306.83 7.74954 0.01 1 63 0
491 310.905 7.88123 0.01 1 79 0
494 309.56 7.93269 0.01 1 81 0
499 310.245 7.9138 0.01 1 72 0
505 311.966 7.90905 0.01 1 79 0
507 307.128 7.74954 0.01 1 64 0
511 306.63 8.05968 0.01 1 64 0
513 310.698 8.04853 0.01 1 79 0
517 307.907 7.83579 0.01 1 72 0
518 311.125 8.31613 0.01 1 72 0
525 306.83 7.74954 0.01 1 62 0
527 306.83 7.74954 0.01 1 63 0
531 306.83 7.74954 0.01 1 64 0
533 309.56 7.93269 0.01 1 80 0
535 306.83 7.74522 0.01 1 62 0
537 307.704 7.9591 0.01 1 62 0
540 311.966 7.92517 0.01 1 79 0
543 306.83 7.74954 0.01 1 64 0
544 309.56 7.93269 0.01 1 80 0
546 311.201 7.92517 0.01 1 80 -0.00336827
556 311.09 7.92517 0.01 1 81 0
559 311.966 7.87599 0.01 1 80 0
563 308.69 8.31058 0.01 1 72 0
567 311.966 7.92517 0.01 1 81 0
575 306.83 7.74954 0.01 1 64 0
581 311.252 7.92517 0.01 1 79 0
582 309.64 8.14851 0.01 1 72 0
585 306.83 7.74954 0.01 1 64 0
587 307.786 8.3903 0.01 1 64 0
588 311.966 7.92517 0.01 1 80 0
593 310.905 7.88123 0.01 1 79 0
597 306.83 7.74954 0.01 1 62 0
604 306.83 7.95813 0.01 1 64 0.000278831
606 311.966 7.92517 0.01 1 80 0
607 306.83 7.94161 0.01 1 64 0
608 307.786 8.3903 0.01 1 64 0
609 307.704 7.9591 0.01 1 63 0
612 311.966 7.92517 0.01 1 80 0
615 306.574 7.69147 0.01 1 63 0.00181191
621 311.966 7.92517 0.01 1 80 0
638 308.415 7.99204 0.01 1 72 0
640 305.201 7.62112 0.01 1 64 0
648 311.966 7.92517 0.01 1 79 0
649 307.05 8.11101 0.01 1 72 0
651 306.83 7.74954 0.01 1 62 0
653 310.905 7.88123 0.01 1 79 0
655 306.83 7.74954 0.01 1 63 0
659 311.966 7.92517 0.01 1 79 0
662 307.676 7.74694 0.01 1 64 -0.00140218
664 306.164 8.34301 0.01 1 72 0
665 306.83 7.74954 0.01 1 63 0
668 304.21 7.60788 0.01 1 63 0.00283481
679 307.129 8.16313 0.01 1 72 0
682 306.83 7.74954 0.01 1 63 0
688 307.786 8.29714 0.01 1 64 0
693 306.83 7.74954 0.01 1 63 0
696 311.966 7.92517 0.01 1 79 0
699 312.344 7.92517 0.01 1 81 0
