max_pf 103 min_pf 25
individual T0 sigma disp_rate r0 patch_no mut_eff
115 298.572 8.19348 0.01 1 27 0
137 296.579 8.38837 0.01 1 27 0
204 296.579 8.38837 0.01 1 27 0
216 296.579 8.38837 0.01 1 26 0
217 296.579 8.38837 0.01 1 27 0
233 308.662 7.6528 0.01 1 72 0
246 318.466 7.90396 0.01 1 101 0
275 298.572 8.19348 0.01 1 27 0
318 297.729 8.38837 0.01 1 27 0
329 297.473 8.38837 0.01 1 27 0
331 310.244 7.96271 0.01 1 72 0
355 298.572 8.11835 0.01 1 27 0
366 318.466 7.90396 0.01 1 101 0
369 317.003 8.16757 0.01 1 101 0
437 308.602 8.15626 0.01 1 72 0
445 298.572 8.19348 0.01 1 26 0
446 308.002 8.15626 0.01 1 72 0
477 308.002 8.15626 0.01 1 72 0
491 296.579 8.38837 0.01 1 27 0
510 310.21 8.52148 0.01 1 72 0
529 298.572 8.19348 0.01 1 26 0
566 310.21 8.52148 0.01 1 72 0
582 296.579 8.38837 0.01 1 27 0
644 296.579 8.38837 0.01 1 26 0
679 298.572 8.19348 0.01 1 27 0
743 296.579 8.38837 0.01 1 27 0
748 308.899 8.11965 0.01 1 72 0
761 298.572 8.19348 0.01 1 27 0
857 310.234 7.87113 0.01 1 72 0
963 308.675 7.96879 0.01 1 72 0
966 317.003 8.04386 0.01 1 101 0
1049 317.003 8.04386 0.01 1 101 0
1050 296.579 8.38837 0.01 1 26 0
1052 296.579 8.38837 0.01 1 27 0
1120 306.52 8.11865 0.01 1 72 -0.000149742
1128 309.598 8.11965 0.01 1 72 -0.000522465
1134 309.038 8.15626 0.01 1 72 0
1146 296.579 8.35575 0.01 1 27 -0.000543647
1147 298.572 8.19187 0.01 1 27 0
1166 308.747 8.12429 0.01 1 72 0
1320 298.572 8.19348 0.01 1 27 0
1356 299.433 8.19348 0.01 1 27 0
1377 308.952 7.89895 0.01 1 72 0
1385 299.433 8.19348 0.01 1 27 0
1451 296.579 8.26667 0.01 1 27 0
1454 296.579 8.38837 0.01 1 27 0
1646 298.572 8.19348 0.01 1 27 0
1822 310.428 7.97521 0.01 1 72 0
1834 296.579 8.38837 0.01 1 27 0
1871 298.572 8.19348 0.01 1 25 0
1881 296.579 8.38837 0.01 1 27 0
1889 297.473 8.38921 0.01 1 27 0
1912 298.572 8.19348 0.01 1 27 0
1924 309.055 7.96787 0.01 1 72 0
1960 306.635 7.98203 0.01 1 72 0
1980 308.002 8.15626 0.01 1 72 0
1983 306.988 7.53252 0.01 1 72 0
2025 310.428 7.97521 0.01 1 72 0
2064 298.572 8.19348 0.01 1 26 0
2090 316.703 8.04386 0.01 1 101 0
2094 308.602 8.15626 0.01 1 72 0
2103 309.038 8.15626 0.01 1 72 0
2178 296.579 8.38837 0.01 1 27 0
2189 310.426 8.12248 0.01 1 72 0
2193 296.075 8.38837 0.01 1 27 0
2247 309.77 7.86907 0.01 1 72 0
2299 298.572 8.19348 0.01 1 27 0
2315 308.602 8.15626 0.01 1 72 0
2324 297.645 8.38837 0.01 1 26 0
2400 306.685 7.8727 0.01 1 72 0
2424 310.234 7.87113 0.01 1 72 0
2471 318.466 7.90396 0.01 1 101 0
2495 308.657 7.61544 0.01 1 72 0
2498 309.055 7.95775 0.01 1 72 0
2554 300.41 8.19348 0.01 1 25 0
2578 309.532 8.00799 0.01 1 72 0
2602 296.579 8.38837 0.01 1 26 0
2616 307.273 8.03506 0.01 1 72 0
2620 310.426 8.12248 0.01 1 72 0
2673 310.21 8.52148 0.01 1 72 0
2682 309.532 8.00799 0.01 1 72 0
2697 307.022 8.05271 0.01 1 72 0.000208616
2698 296.579 8.38837 0.01 1 27 0
2743 299.433 8.19348 0.01 1 27 0
2756 308.921 7.77776 0.01 1 72 0
2760 296.075 8.38837 0.01 1 27 0
2764 308.126 7.89273 0.01 1 72 0
2773 297.739 8.38837 0.01 1 27 0
2818 311.152 7.89946 0.01 1 72 0
2831 308.602 8.15626 0.01 1 72 0
2909 298.572 8.19348 0.01 1 27 0
2911 298.572 8.19348 0.01 1 27 0
2957 311.152 7.89946 0.01 1 72 0
2972 299.433 8.19348 0.01 1 27 0
3025 317.003 8.16757 0.01 1 101 0
3026 298.572 8.19348 0.01 1 27 0
3051 310.44 8.12429 0.01 1 72 -0.00162327
3059 308.246 7.77776 0.01 1 72 0
3115 296.579 8.38837 0.01 1 27 0
3130 296.579 8.38837 0.01 1 27 0
3149 296.579 8.38837 0.01 1 27 0
3244 298.572 8.19348 0.01 1 25 0
3249 296.579 8.38837 0.01 1 27 0
3250 298.572 8.19348 0.01 1 26 0
3323 296.075 8.38837 0.01 1 27 0
3331 307.496 8.29772 0.01 1 72 0
3344 296.579 8.38837 0.01 1 27 0
3394 310.428 7.97521 0.01 1 72 0
3421 309.055 7.96787 0.01 1 72 0
3430 307.743 8.11965 0.01 1 72 0
3469 298.572 8.19348 0.01 1 27 0
3489 307.496 8.29772 0.01 1 72 0
3492 296.923 8.38837 0.01 1 27 0
3496 298.572 8.19348 0.01 1 27 0
3499 296.579 8.38837 0.01 1 27 0
3538 299.433 8.1542 0.01 1 27 0
3572 296.579 8.38837 0.01 1 27 0
3580 296.579 8.38837 0.01 1 27 0
3594 299.433 8.19348 0.01 1 27 0
3605 308.642 7.96879 0.01 1 72 0
3629 296.579 8.26418 0.01 1 26 -0.00208746
3630 297.432 8.19348 0.01 1 27 0
3641 298.572 8.19348 0.01 1 27 0
3739 296.579 8.38837 0.01 1 27 0
3760 310.21 8.52148 0.01 1 72 0
3761 308.675 8.02011 0.01 1 72 -3.35276e-06
3769 296.579 8.38837 0.01 1 27 0
3780 317.546 8.04386 0.01 1 102 0
3796 298.572 8.19348 0.01 1 25 0
3801 310.412 8.13128 0.01 1 72 0
3811 296.006 8.19348 0.01 1 27 0
3839 298.572 8.19348 0.01 1 25 0
3857 296.075 8.38837 0.01 1 27 0
3866 296.075 8.38837 0.01 1 27 0
3899 308.101 8.19882 0.01 1 72 0
3902 298.572 8.19348 0.01 1 25 0
3906 298.572 8.11835 0.01 1 27 0
3911 316.703 8.04386 0.01 1 101 0
3914 296.579 8.38837 0.01 1 27 0
3924 298.572 8.19348 0.01 1 27 0
3933 296.579 8.38837 0.01 1 27 0
3952 295.784 8.38837 0.01 1 27 0.0111713
3966 310.426 8.12248 0.01 1 72 0
4045 298.572 8.19348 0.01 1 27 0
4089 300.247 8.19348 0.01 1 26 0
4129 299.433 8.1542 0.01 1 27 0
4135 308.662 7.6528 0.01 1 72 0
4160 309.77 7.86907 0.01 1 72 0
4177 308.782 7.96879 0.01 1 72 0
4242 296.579 8.38837 0.01 1 27 0
4261 318.897 8.04386 0.01 1 102 0
4266 317.003 8.16757 0.01 1 101 0
4319 308.101 8.19882 0.01 1 72 0
4335 298.572 8.19348 0.01 1 27 0
4359 298.572 8.19348 0.01 1 25 0
4438 295.852 8.19348 0.01 1 26 0
4446 296.579 8.38837 0.01 1 27 0
4460 298.572 8.19348 0.01 1 27 0
4494 298.572 8.19348 0.01 1 27 0
4495 309.818 8.02471 0.01 1 72 0
4501 298.572 8.19348 0.01 1 27 0
4531 296.579 8.38837 0.01 1 27 0
4549 309.532 8.0419 0.01 1 72 0
4568 308.662 7.6528 0.01 1 72 0
4698 317.003 8.16757 0.01 1 101 0
4782 298.572 8.19348 0.01 1 27 0
4787 317.003 8.04386 0.01 1 103 0
4864 310.21 8.52148 0.01 1 72 0
4900 309.038 8.15626 0.01 1 72 0
4920 308.602 8.15626 0.01 1 72 0
4963 317.003 8.04386 0.01 1 103 0
4969 306.988 7.53252 0.01 1 72 0
4971 298.572 8.19348 0.01 1 27 0
4984 317.003 8.04386 0.01 1 102 0
5006 298.572 8.19348 0.01 1 27 0
5033 308.002 8.15564 0.01 1 72 0
5052 296.579 8.38837 0.01 1 26 0
5065 309.293 7.72151 0.01 1 72 0
5128 298.572 8.19348 0.01 1 27 0
5228 297.729 8.38837 0.01 1 27 0
5240 296.579 8.38837 0.01 1 26 0
5246 296.579 8.38837 0.01 1 27 0
5251 298.572 8.19348 0.01 1 27 0
5268 297.432 8.19348 0.01 1 26 0
5305 310.21 8.52148 0.01 1 72 0
5310 300.41 8.19348 0.01 1 25 0
5312 317.003 8.04386 0.01 1 101 0
5318 306.685 7.8727 0.01 1 72 0
5351 311.152 7.99977 0.01 1 72 0
5387 318.466 7.90396 0.01 1 101 0
5407 298.572 8.19348 0.01 1 26 0
5486 299.433 8.19348 0.01 1 27 0
5501 298.572 8.19348 0.01 1 26 0
5513 308.952 7.89895 0.01 1 72 0
5521 317.003 8.04386 0.01 1 101 0
5578 296.579 8.38837 0.01 1 26 0
5582 309.885 7.58313 0.01 1 72 0
5595 296.579 8.38837 0.01 1 27 0
5619 296.579 8.38837 0.01 1 27 0
5641 298.572 8.19348 0.01 1 27 0
5659 309.051 7.7258 0.01 1 72 0
5667 309.153 8.02174 0.01 1 72 0
5671 307.022 7.91194 0.01 1 72 0
5693 297.51 8.23016 0.01 1 26 0.0017683
