max_pf 106 min_pf 28
individual T0 sigma disp_rate r0 patch_no mut_eff
3 301.127 8.46076 0.01 1 30 0
40 320.697 8.00604 0.01 1 105 0
112 322.678 7.92855 0.01 1 104 0
113 301.127 8.41946 0.01 1 30 0
125 307.452 7.76574 0.01 1 72 0
135 320.697 7.9492 0.01 1 105 0
171 307.452 7.76574 0.01 1 72 0
209 300.301 8.38532 0.01 1 30 0
246 309.719 8.00958 0.01 1 72 0
260 301.127 8.41946 0.01 1 29 0
288 307.311 8.27794 0.01 1 72 0
365 301.78 8.23998 0.01 1 29 0
377 301.127 8.41946 0.01 1 30 0
480 301.127 8.41946 0.01 1 30 0
524 299.664 8.41946 0.01 1 29 0.0163462
533 320.697 8.00604 0.01 1 105 0
570 308.335 7.7435 0.01 1 72 0
629 300.824 8.44676 0.01 1 30 0
666 301.127 8.41946 0.01 1 29 0
675 301.127 8.41946 0.01 1 30 0
689 301.127 8.41946 0.01 1 30 0
764 307.324 7.95947 0.01 1 72 0
775 308.398 7.9375 0.01 1 72 0
806 320.697 7.8839 0.01 1 104 0
847 301.127 8.53484 0.01 1 30 0
878 301.127 8.41946 0.01 1 29 0
898 301.127 8.41946 0.01 1 30 0
937 301.127 8.41946 0.01 1 30 0
953 320.697 8.00604 0.01 1 105 0
975 308.398 7.9375 0.01 1 72 0
988 301.127 8.41946 0.01 1 30 0
997 308.398 7.9375 0.01 1 72 0
1003 308.398 7.94001 0.01 1 72 3.57628e-07
1085 320.697 8.00604 0.01 1 104 0
1120 320.697 7.8839 0.01 1 104 0
1145 310.786 7.7066 0.01 1 72 0
1171 310.935 8.09753 0.01 1 72 0
1230 320.697 8.00604 0.01 1 105 0
1254 301.127 8.41946 0.01 1 29 0
1272 320.697 7.9492 0.01 1 105 0
1322 310.935 8.09753 0.01 1 72 0
1366 320.697 7.8839 0.01 1 105 0
1378 307.324 7.95947 0.01 1 72 0
1403 308.398 7.9375 0.01 1 72 0
1420 307.791 7.76574 0.01 1 72 0
1450 309.597 6.92228 0.01 1 72 0
1481 309.333 8.00958 0.01 1 72 0
1491 301.127 8.41946 0.01 1 30 0
1514 298.128 8.41946 0.01 1 29 0
1669 301.127 8.41946 0.01 1 30 0
1707 306.756 8.24349 0.01 1 72 0
1714 320.697 7.8839 0.01 1 105 0
1718 307.861 7.91428 0.01 1 72 0
1735 300.824 8.44676 0.01 1 30 0
1816 307.452 7.76574 0.01 1 72 0
1850 301.127 8.41946 0.01 1 30 0
1875 309.899 8.22077 0.01 1 72 0
1882 300.824 8.44676 0.01 1 30 0
2029 301.76 8.41946 0.01 1 30 0
2040 301.127 8.41946 0.01 1 30 0
2114 322.678 8.00604 0.01 1 104 0
2192 307.311 8.27794 0.01 1 72 0
2222 301.127 8.41946 0.01 1 30 0
2268 301.127 8.46076 0.01 1 30 0
2287 298.938 8.41946 0.01 1 30 0.0265224
2300 301.127 8.41946 0.01 1 30 0
2301 301.127 8.53484 0.01 1 30 0
2378 307.757 8.04807 0.01 1 72 0
2435 320.697 7.8839 0.01 1 105 0
2470 301.127 8.41946 0.01 1 30 0
2475 320.697 8.00604 0.01 1 105 0
2476 301.127 8.41946 0.01 1 28 0
2489 301.127 8.46076 0.01 1 30 0
2494 301.561 8.41946 0.01 1 29 0
2547 301.127 8.41946 0.01 1 28 0
2582 300.824 8.44676 0.01 1 30 0
2599 301.127 8.41946 0.01 1 30 0
2713 298.128 8.41946 0.01 1 30 0
2736 300.824 8.44676 0.01 1 30 0
2764 301.127 8.41946 0.01 1 29 0
2770 320.697 7.8839 0.01 1 106 0
2805 307.452 7.76574 0.01 1 72 0
2986 309.895 7.54607 0.01 1 72 0
3008 310.786 7.56442 0.01 1 72 0
3011 301.127 8.38532 0.01 1 30 0
3013 320.697 8.10258 0.01 1 104 0.00136343
3040 300.301 8.38532 0.01 1 30 0
3067 300.388 8.41946 0.01 1 28 0.00837962
3215 320.697 7.93603 0.01 1 104 0
3280 310.786 7.7066 0.01 1 72 0
3307 307.311 8.27794 0.01 1 72 0
3314 301.406 8.31315 0.01 1 30 0
3338 298.128 8.41946 0.01 1 30 0
3360 301.127 8.41946 0.01 1 30 0
3401 301.127 8.41946 0.01 1 28 0
3407 310.786 7.7066 0.01 1 72 0
3414 301.127 8.41946 0.01 1 30 0
3418 301.127 8.46076 0.01 1 30 0
3424 300.134 8.41946 0.01 1 28 0
3447 300.915 8.41946 0.01 1 30 0
3513 299.538 8.41946 0.01 1 30 0
3519 307.452 7.76574 0.01 1 72 0
3546 320.697 7.8839 0.01 1 105 0
3561 301.127 8.41946 0.01 1 29 0
3584 301.127 8.41946 0.01 1 29 0
3617 320.697 7.8839 0.01 1 104 0
3629 300.301 8.27616 0.01 1 30 -0.00190841
3641 305.573 7.55029 0.01 1 72 0
3652 309.375 7.8746 0.01 1 72 0
3670 301.127 8.41946 0.01 1 30 0
3699 301.265 8.41946 0.01 1 30 0
3701 309.193 8.10031 0.01 1 72 0
3741 310.786 7.7066 0.01 1 72 0
3758 301.127 8.41946 0.01 1 29 0
3775 309.597 6.92228 0.01 1 72 0
3810 311.404 8.18159 0.01 1 72 0
3865 308.904 7.91825 0.01 1 72 0
3866 300.301 8.38532 0.01 1 29 0
3875 310.935 8.09753 0.01 1 72 0
3908 320.697 7.8839 0.01 1 104 0
3921 301.127 8.41946 0.01 1 30 0
3924 310.935 8.09753 0.01 1 72 0
3933 307.324 7.98025 0.01 1 72 0
3958 301.127 8.41946 0.01 1 30 0
4015 307.202 7.81413 0.01 1 72 0
4017 301.127 8.41946 0.01 1 30 0
4062 307.452 7.76574 0.01 1 72 0
4095 298.128 8.41946 0.01 1 29 0
4118 302.588 8.41946 0.01 1 29 0
4219 320.697 8.00604 0.01 1 104 0
4255 301.76 8.41946 0.01 1 30 0
4264 300.824 8.44676 0.01 1 29 0
