max_pf 107 min_pf 20
individual T0 sigma disp_rate r0 patch_no mut_eff
3 319.784 8.49472 0.01 1 107 0.00138801
70 296.181 8.22417 0.01 1 22 0
77 299.258 8.28969 0.01 1 22 0
103 309.256 7.55921 0.01 1 72 0
181 307.657 7.68574 0.01 1 72 0
222 298.358 8.28079 0.01 1 21 0
239 296.181 8.22417 0.01 1 22 0
273 307.621 8.40901 0.01 1 72 0
324 298.109 8.38226 0.01 1 22 0.000875283
390 308.153 7.96939 0.01 1 72 0
426 308.672 8.39953 0.01 1 72 0
538 298.177 8.21577 0.01 1 22 0
544 319.681 8.46501 0.01 1 107 0
547 309.939 8.04596 0.01 1 72 0
551 299.258 8.27203 0.01 1 22 0
615 296.181 8.22417 0.01 1 22 0
638 298.358 8.28079 0.01 1 22 0
706 308.563 8.33627 0.01 1 72 1.27554e-05
769 307.621 8.40901 0.01 1 72 0
778 320.193 8.49472 0.01 1 105 0
887 308.648 8.31393 0.01 1 72 0
1032 320.193 8.49472 0.01 1 106 0
1068 299.258 8.27203 0.01 1 22 0
1073 319.681 8.41433 0.01 1 106 0
1142 308.563 8.10646 0.01 1 72 -2.89083e-06
1178 309.928 7.8493 0.01 1 72 0
1238 296.893 8.27203 0.01 1 22 0
1273 299.258 8.27203 0.01 1 21 0
1280 319.681 8.46109 0.01 1 105 0
1364 306.79 8.62885 0.01 1 72 0
1379 319.836 8.41433 0.01 1 105 0
1387 308.665 8.09635 0.01 1 72 0
1467 299.258 8.27203 0.01 1 22 0
1489 309.829 7.90105 0.01 1 72 0
1504 298.358 8.28079 0.01 1 22 0
1508 296.893 8.27203 0.01 1 22 0
1623 308.648 8.31393 0.01 1 72 0
1697 320.193 8.49472 0.01 1 107 0
1734 299.258 8.284 0.01 1 22 0
1839 307.648 7.55921 0.01 1 72 0
1862 299.258 8.284 0.01 1 22 0
1877 306.249 8.36704 0.01 1 72 0
1897 296.893 8.27203 0.01 1 22 0
1912 307.621 8.40901 0.01 1 72 0
2023 319.681 8.52619 0.01 1 106 0
2077 298.534 8.22417 0.01 1 22 0
2105 300.02 8.35535 0.01 1 21 0
2110 296.761 8.28079 0.01 1 22 0
2178 297.151 8.22417 0.01 1 22 0
2235 320.086 8.27524 0.01 1 105 0
2262 309.472 7.93966 0.01 1 72 0
2324 297.041 8.28079 0.01 1 21 0
2343 308.465 8.62885 0.01 1 72 0
2366 296.893 8.27203 0.01 1 21 0
2384 319.836 8.41433 0.01 1 105 0
2484 319.681 8.46109 0.01 1 106 0
2496 308.546 8.08926 0.01 1 72 0
2529 307.647 8.08926 0.01 1 72 0
2576 319.681 8.46501 0.01 1 107 0
2612 320.086 8.27524 0.01 1 105 0
2662 309.928 7.8493 0.01 1 72 0
2776 309.928 7.8493 0.01 1 72 0
2782 296.181 8.22417 0.01 1 22 0
2800 307.657 7.68574 0.01 1 72 0
2839 296.181 8.22417 0.01 1 21 0
2854 296.893 8.27203 0.01 1 22 0
2868 299.258 8.27203 0.01 1 21 0
2871 308.296 7.7753 0.01 1 72 0
2893 297.951 8.41115 0.01 1 22 0
3092 319.681 8.41433 0.01 1 105 0
3120 310.073 8.56104 0.01 1 72 0
3218 299.258 8.284 0.01 1 22 0
3317 299.258 8.284 0.01 1 21 0
3323 296.893 8.35627 0.01 1 20 0
3352 310.153 8.26814 0.01 1 72 0
3355 320.086 8.27524 0.01 1 105 0
3463 296.181 8.22417 0.01 1 22 0
3496 319.681 8.41433 0.01 1 107 0
3567 298.358 8.28079 0.01 1 22 0
3605 320.879 8.56936 0.01 1 105 0
3645 299.258 8.27203 0.01 1 22 0
3724 296.181 8.22417 0.01 1 21 0
3770 310.073 8.56104 0.01 1 72 0
3784 319.836 8.41433 0.01 1 105 0
3794 299.258 8.27203 0.01 1 22 0
3855 320.154 8.56936 0.01 1 106 0
3932 296.181 8.22417 0.01 1 22 0
4009 296.181 8.22417 0.01 1 22 0
4021 320.154 8.56936 0.01 1 106 0
4045 297.541 8.28079 0.01 1 21 0.00799199
4047 307.647 8.08926 0.01 1 72 0
4053 296.181 8.22417 0.01 1 22 0
4057 297.151 8.22417 0.01 1 22 0
4107 308.672 8.39953 0.01 1 72 0
4126 298.358 8.28079 0.01 1 22 0
4130 319.681 8.41433 0.01 1 106 0
4169 297.151 8.22417 0.01 1 22 0
4209 308.162 7.97184 0.01 1 72 0
4261 309.939 8.04596 0.01 1 72 0
4271 297.352 8.22417 0.01 1 22 -0.0131615
4378 296.893 8.27203 0.01 1 22 0
4407 298.352 8.28079 0.01 1 22 0
4410 298.358 8.28079 0.01 1 22 0
4540 319.681 8.41433 0.01 1 106 0
4570 306.223 7.86412 0.01 1 72 0
4627 306.99 7.96939 0.01 1 72 0
4725 319.681 8.46109 0.01 1 106 0
4760 298.101 8.28079 0.01 1 22 0
4803 306.99 7.96939 0.01 1 72 0
4804 298.101 8.28079 0.01 1 22 0
4805 319.836 8.41433 0.01 1 105 0
4810 308.995 7.78961 0.01 1 72 0
4814 296.181 8.22417 0.01 1 22 0
4835 306.249 8.36704 0.01 1 72 0
4865 310.8 7.94757 0.01 1 72 0
4889 296.181 8.22589 0.01 1 22 0
4936 320.879 8.56936 0.01 1 105 0
4941 297.151 8.22417 0.01 1 22 0
4951 298.534 8.22417 0.01 1 22 0
4991 299.258 8.27203 0.01 1 22 0
5013 297.151 8.22417 0.01 1 22 0
5014 299.258 8.27203 0.01 1 22 0
5028 308.563 8.1476 0.01 1 72 0
5054 310.073 8.56104 0.01 1 72 0
5097 319.836 8.41433 0.01 1 105 0
5158 297.951 8.10297 0.01 1 22 0
5194 299.258 8.284 0.01 1 22 0
5317 308.404 7.79436 0.01 1 72 0
5322 296.181 8.03626 0.01 1 22 -0.00335576
5364 309.305 8.00565 0.01 1 72 0
5381 319.681 8.41433 0.01 1 107 0
5428 296.893 8.27203 0.01 1 21 0
5442 310.073 8.56104 0.01 1 72 0
5475 298.358 8.28079 0.01 1 22 0
5493 305.738 7.95987 0.01 1 72 0
5526 308.191 7.68574 0.01 1 72 0
5559 299.258 8.15838 0.01 1 22 0
5578 307.647 8.08926 0.01 1 72 0
5613 309.258 7.8347 0.01 1 72 0
5663 319.681 8.41433 0.01 1 106 0
5682 306.249 8.32607 0.01 1 72 0
5686 312.271 7.87633 0.01 1 72 0
5755 296.181 8.22417 0.01 1 22 0
5772 308.465 8.62885 0.01 1 72 0
5777 320.086 8.27524 0.01 1 105 0
5793 296.181 8.22417 0.01 1 22 0
5810 319.681 8.46109 0.01 1 105 0
5824 309.312 8.1476 0.01 1 72 0
5868 307.895 8.11492 0.01 1 72 0
5904 320.154 8.56936 0.01 1 106 0
5914 309.939 8.04596 0.01 1 72 0
5922 307.621 8.40901 0.01 1 72 0
5927 304.143 8.36319 0.01 1 72 0
5935 296.181 8.22417 0.01 1 22 0
6021 296.181 8.22417 0.01 1 22 0
6034 309.096 8.06314 0.01 1 72 0
6043 307.648 7.55921 0.01 1 72 0
6082 320.193 8.49472 0.01 1 107 0
6086 308.867 8.09423 0.01 1 72 0
6096 310.073 8.56104 0.01 1 72 0
6126 299.819 8.22417 0.01 1 22 0
6191 298.358 8.28079 0.01 1 22 0
6221 311.681 8.04901 0.01 1 72 0
6224 310.055 8.56104 0.01 1 72 7.23898e-05
6242 310.272 8.06091 0.01 1 72 0
6278 298.358 8.25325 0.01 1 22 -0.00046856
6293 310.569 7.94794 0.01 1 72 0
6390 297.151 8.22417 0.01 1 22 0
6488 307.657 7.62788 0.01 1 72 0
6541 296.181 8.22417 0.01 1 20 0
6566 308.153 7.96939 0.01 1 72 0
6572 299.258 8.27203 0.01 1 21 0
6610 296.181 8.22417 0.01 1 21 0
6644 308.153 7.96939 0.01 1 72 0
6648 296.181 8.22417 0.01 1 22 0
6676 298.109 8.32856 0.01 1 22 0
6710 308.69 7.62796 0.01 1 72 0
6741 319.681 8.46501 0.01 1 107 0
6748 298.358 8.28079 0.01 1 21 0
6760 296.181 8.22417 0.01 1 22 0
6890 320.193 8.49472 0.01 1 107 0
6903 319.681 8.46109 0.01 1 105 0
6923 308.648 8.31393 0.01 1 72 0
6957 318.508 8.36901 0.01 1 105 0
6963 307.457 8.00539 0.01 1 72 0
6990 299.258 8.27203 0.01 1 22 0
7079 308.563 8.1476 0.01 1 72 0
7120 308.954 8.56104 0.01 1 72 0.0015533
7127 296.181 8.22417 0.01 1 22 0
7133 308.563 8.10646 0.01 1 72 0
7152 319.681 8.49472 0.01 1 107 0
7159 307.647 8.08926 0.01 1 72 0
7175 299.258 8.284 0.01 1 20 0
7265 308.296 7.7753 0.01 1 72 0
7296 299.258 8.27203 0.01 1 22 0
7314 299.258 8.284 0.01 1 22 0
7339 298.358 8.28079 0.01 1 22 0
7395 308.465 8.62885 0.01 1 72 0
7405 319.681 8.37423 0.01 1 105 0
7410 300.088 8.284 0.01 1 21 -0.00578259
7430 299.258 8.15838 0.01 1 22 0
7484 310.073 8.56104 0.01 1 72 0
7540 306.99 7.96939 0.01 1 72 0
7569 307.993 8.48604 0.01 1 72 0
7578 300.97 8.20421 0.01 1 21 0
7601 296.181 8.22417 0.01 1 21 0
7648 307.647 8.08926 0.01 1 72 0
7731 299.258 8.27203 0.01 1 22 0
7765 308.665 8.16032 0.01 1 72 0
7806 298.109 8.15838 0.01 1 20 0
7867 310.272 8.06091 0.01 1 72 0
7933 297.148 8.22417 0.01 1 22 2.8152e-05
7941 309.593 8.1476 0.01 1 72 0
8085 296.181 8.22417 0.01 1 22 0
8218 297.388 8.28079 0.01 1 22 0
8269 310.775 8.06314 0.01 1 72 0
8284 307.457 8.00539 0.01 1 72 0
8297 297.388 8.28079 0.01 1 22 0
8312 308.665 8.16032 0.01 1 72 0
8321 299.258 8.27203 0.01 1 21 0
8328 319.328 8.52619 0.01 1 107 0
8463 319.681 8.41433 0.01 1 107 0
8528 320.086 8.27524 0.01 1 105 0
8613 307.647 8.08926 0.01 1 72 0
8630 298.358 8.28079 0.01 1 22 0
8657 310.073 8.56104 0.01 1 72 0
8714 297.151 8.22417 0.01 1 21 0
8775 296.893 8.27203 0.01 1 22 0
8885 307.657 7.68574 0.01 1 72 0
8975 297.951 8.21577 0.01 1 22 0
8978 309.305 8.14417 0.01 1 72 0
