max_pf 103 min_pf 24
individual T0 sigma disp_rate r0 patch_no mut_eff
1 310.389 8.06346 0.01 1 72 0
5 309.056 8.39028 0.01 1 72 0
18 318.204 7.91828 0.01 1 101 0
95 298.43 8.39539 0.01 1 26 0
134 315.558 7.82717 0.01 1 102 0
146 317.281 7.91828 0.01 1 102 0
282 317.281 7.7497 0.01 1 101 0
296 299.439 8.47591 0.01 1 26 0
319 299.439 8.47591 0.01 1 26 0
332 300.44 8.39539 0.01 1 26 0
383 298.83 8.39539 0.01 1 25 0
431 298.83 8.39539 0.01 1 24 0
445 316.989 7.98347 0.01 1 102 0
486 297.499 8.39539 0.01 1 25 0
487 299.858 8.39539 0.01 1 26 0
491 299.423 8.39539 0.01 1 24 0
538 299.439 8.47591 0.01 1 26 0
557 300.44 8.39539 0.01 1 26 0
622 311.382 7.87438 0.01 1 72 0
651 308.418 7.59259 0.01 1 72 0
660 298.491 8.39539 0.01 1 25 0
675 299.116 8.39539 0.01 1 26 0
728 299.439 8.47591 0.01 1 26 0
743 311.079 8.32474 0.01 1 72 0
848 318.463 7.91491 0.01 1 102 0
909 309.915 8.84908 0.01 1 72 0
914 317.281 7.91828 0.01 1 101 0
926 309.742 7.93534 0.01 1 72 0
947 307.034 8.11109 0.01 1 72 0
972 299.625 8.34919 0.01 1 26 -0.000772495
979 306.456 7.7578 0.01 1 72 0
999 311.079 8.32474 0.01 1 72 0
1023 310.384 8.02816 0.01 1 72 0
1086 299.439 8.46759 0.01 1 26 0
1132 317.281 7.7497 0.01 1 101 0
1196 316.054 8.0419 0.01 1 101 0.00435096
1214 311.079 8.32474 0.01 1 72 0
1251 317.281 7.91491 0.01 1 101 0
1285 307.603 7.66446 0.01 1 72 0
1288 317.281 7.7497 0.01 1 101 0
1336 309.097 7.98492 0.01 1 72 0
1369 308.96 8.30447 0.01 1 72 0
1519 308.302 7.98613 0.01 1 72 0
1533 309.915 8.84908 0.01 1 72 0
1632 310.404 8.06346 0.01 1 72 0
1647 299.116 8.39539 0.01 1 26 0
1650 310.389 8.1491 0.01 1 72 0
1657 297.499 8.39539 0.01 1 26 0
1666 299.116 8.39539 0.01 1 26 0
1667 299.423 8.39539 0.01 1 24 0
1692 308.96 7.96228 0.01 1 72 0
1709 299.423 8.39539 0.01 1 26 0
1739 317.281 7.82059 0.01 1 101 0
1806 311.209 7.98493 0.01 1 72 0
1851 308.354 8.05562 0.01 1 72 0
1859 299.116 8.39539 0.01 1 26 0
1894 309.742 7.87036 0.01 1 72 0
1904 298.402 8.39539 0.01 1 25 0
1937 307.195 7.81248 0.01 1 72 -7.56681e-05
1950 308.96 8.19721 0.01 1 72 0
2032 298.402 8.39539 0.01 1 26 0
2205 318.204 7.91828 0.01 1 101 0
2278 310.704 7.87811 0.01 1 72 0
2371 317.281 7.7497 0.01 1 101 0
2382 310.389 8.1491 0.01 1 72 0
2405 299.423 8.39539 0.01 1 26 0
2416 297.499 8.39539 0.01 1 26 0
2523 299.849 8.39539 0.01 1 26 0
2547 310.953 7.96128 0.01 1 72 0
2613 297.499 8.53144 0.01 1 26 0
2694 298.402 8.39539 0.01 1 26 0
2718 310.27 7.91555 0.01 1 72 0
2735 300.484 8.39539 0.01 1 26 0
2782 308.354 8.05562 0.01 1 72 0
2826 308.495 8.11109 0.01 1 72 0
2906 309.708 7.88729 0.01 1 72 0
2932 310.963 8.02816 0.01 1 72 0
2950 317.281 8.00983 0.01 1 102 0
2966 318.463 7.91491 0.01 1 102 0
2980 311.079 8.32474 0.01 1 72 0
3003 318.204 7.91828 0.01 1 101 0
3111 307.736 8.13748 0.01 1 72 0
3141 309.445 7.91555 0.01 1 72 0
3148 308.144 7.94359 0.01 1 72 0
3168 308.785 8.03163 0.01 1 72 -6.88434e-05
3195 310.27 7.91555 0.01 1 72 0
3225 299.423 8.39539 0.01 1 24 0
3256 317.281 8.14884 0.01 1 101 0
3320 311.209 8.06346 0.01 1 72 0
3352 313.331 8.06346 0.01 1 72 -0.023762
3457 297.499 8.39539 0.01 1 25 0
3466 297.499 8.39539 0.01 1 26 0
3488 310.757 7.82953 0.01 1 72 0
3615 308.96 7.96228 0.01 1 72 0
3727 299.423 8.39539 0.01 1 25 0
3728 297.499 8.39539 0.01 1 26 0
3988 298.83 8.39539 0.01 1 25 0
4003 309.755 8.06706 0.01 1 72 0
4009 306.802 8.16837 0.01 1 72 0
4155 299.116 8.39539 0.01 1 26 0
4223 300.352 8.39539 0.01 1 26 0
4519 298.83 8.39539 0.01 1 25 0
4525 310.384 8.02816 0.01 1 72 0
4567 298.402 8.39539 0.01 1 26 0
4696 299.81 8.39539 0.01 1 26 0
4706 310.953 7.96128 0.01 1 72 0
4723 297.499 8.39539 0.01 1 26 0
4730 317.281 7.7497 0.01 1 101 0
4898 318.463 7.91491 0.01 1 102 0
4907 297.499 8.39539 0.01 1 25 0
4937 317.281 7.82059 0.01 1 101 0
4938 298.402 8.39539 0.01 1 26 0
4941 298.402 8.39539 0.01 1 26 0
4975 307.603 7.66446 0.01 1 72 0
5069 299.81 8.39539 0.01 1 25 0
5114 300.352 8.39539 0.01 1 26 0
5116 297.499 8.39539 0.01 1 26 0
5204 299.423 8.39539 0.01 1 25 0
5220 297.499 8.39539 0.01 1 26 0
5268 308.144 7.94359 0.01 1 72 0
5329 315.558 8.0457 0.01 1 102 0.00351651
5362 316.989 7.98347 0.01 1 102 0
5390 316.989 7.98347 0.01 1 101 0
5399 310.404 8.06346 0.01 1 72 0
5428 306.678 8.1831 0.01 1 72 0
5434 310.757 7.82953 0.01 1 72 0
5438 309.445 7.91555 0.01 1 72 0
5443 309.273 7.98492 0.01 1 72 0
5454 317.281 7.7497 0.01 1 101 0
5611 300.484 8.39539 0.01 1 25 0
5668 307.603 7.66446 0.01 1 72 0
5676 308.96 8.19721 0.01 1 72 0
5775 317.281 7.91828 0.01 1 101 0
5815 311.382 7.88574 0.01 1 72 0
5825 307.197 8.12639 0.01 1 72 0
5899 318.463 7.91491 0.01 1 103 0
5963 317.281 7.7497 0.01 1 101 0
5985 300.484 8.39539 0.01 1 26 0
6034 308.433 8.05347 0.01 1 72 0
6187 299.116 8.39539 0.01 1 26 0
6216 310.953 7.96128 0.01 1 72 0
6219 317.281 7.7497 0.01 1 101 0
