max_pf 86 min_pf 56
individual T0 sigma disp_rate r0 patch_no mut_eff
7 311.183 8.00012 0.01 1 86 0
9 307.374 7.63111 0.01 1 57 0
21 307.364 7.63111 0.01 1 57 0
26 309.958 8.38594 0.01 1 72 0
34 308.782 8.01514 0.01 1 72 0
51 307.374 7.63111 0.01 1 57 0
66 310.499 8.08128 0.01 1 72 0
77 311.183 7.87408 0.01 1 84 0
86 306.158 8.11905 0.01 1 72 0
91 307.374 7.63111 0.01 1 57 0
108 307.364 7.63111 0.01 1 57 0
124 306.378 7.63111 0.01 1 57 0
129 311.183 8.00012 0.01 1 85 0
142 307.374 7.64529 0.01 1 56 0
145 307.144 8.00771 0.01 1 72 0
161 308.236 8.19403 0.01 1 72 -0.000845656
166 311.183 8.00012 0.01 1 84 0
188 311.183 8.00012 0.01 1 84 0
194 307.364 7.63111 0.01 1 57 0
204 311.183 8.11446 0.01 1 85 0
207 306.812 7.95072 0.01 1 72 0
213 307.374 7.63111 0.01 1 58 0
215 307.374 7.63111 0.01 1 58 0
236 309.958 8.26741 0.01 1 72 0
238 309.068 7.97605 0.01 1 72 0
240 307.374 7.63111 0.01 1 57 0
244 307.374 7.63111 0.01 1 57 0
249 308.434 7.98985 0.01 1 72 0
254 306.722 7.63111 0.01 1 57 0
260 311.183 8.00012 0.01 1 84 0
264 309.11 7.9961 0.01 1 72 0
266 306.378 7.63111 0.01 1 58 0
279 310.258 8.00012 0.01 1 85 0
283 311.183 7.87408 0.01 1 84 0
302 310.177 8.00012 0.01 1 86 0.000904962
306 308.559 8.19126 0.01 1 72 0
307 307.374 7.63111 0.01 1 58 0
315 306.722 7.63111 0.01 1 57 0
322 311.183 7.96306 0.01 1 85 0
335 307.374 7.63111 0.01 1 58 0
343 311.183 8.00012 0.01 1 84 0
349 307.374 7.63111 0.01 1 58 0
361 311.183 8.00012 0.01 1 85 0
362 311.183 7.96306 0.01 1 85 0
368 308.916 7.904 0.01 1 72 0
418 308.264 7.93235 0.01 1 72 0
438 310.499 8.03985 0.01 1 72 0
450 307.374 7.63111 0.01 1 56 0
460 308.112 8.08723 0.01 1 72 0
463 307.374 7.63111 0.01 1 58 0
469 307.364 7.63111 0.01 1 57 0
476 307.148 7.63111 0.01 1 58 0
479 308.887 7.99082 0.01 1 72 0
494 311.183 8.00012 0.01 1 85 0
503 311.183 7.87408 0.01 1 84 0
512 309.958 8.17542 0.01 1 72 0
