max_pf 110 min_pf 20
individual T0 sigma disp_rate r0 patch_no mut_eff
5 297.117 8.08099 0.01 1 22 0
48 296.686 8.08099 0.01 1 22 0
69 308.921 7.81022 0.01 1 72 0
138 296.686 8.08099 0.01 1 22 0
187 296.686 8.08099 0.01 1 22 0
197 321.803 7.56348 0.01 1 109 0
206 296.686 8.08099 0.01 1 22 0
336 309.474 7.88791 0.01 1 72 0
349 295.631 8.08099 0.01 1 22 0
379 295.631 8.08099 0.01 1 22 0
392 296.686 8.09195 0.01 1 22 0
417 295.631 8.08099 0.01 1 22 0
430 321.803 7.72074 0.01 1 109 0
586 308.669 7.97056 0.01 1 72 0
615 308.44 7.73587 0.01 1 72 0
653 309.628 7.94462 0.01 1 72 0
677 296.686 8.06669 0.01 1 22 0
714 295.09 8.1925 0.01 1 22 0
754 297.482 8.08099 0.01 1 22 0
794 295.09 8.1925 0.01 1 22 0
812 307.578 8.26631 0.01 1 72 0
853 307.389 7.62793 0.01 1 72 0
859 296.686 8.08099 0.01 1 21 0
884 307.109 8.21786 0.01 1 72 0
923 296.686 8.08099 0.01 1 22 0
934 309.474 7.88791 0.01 1 72 0
940 296.686 8.08099 0.01 1 21 0
961 311.598 8.25473 0.01 1 72 0
1005 296.686 8.08099 0.01 1 21 0
1024 306.577 8.63803 0.01 1 72 0
1027 296.686 8.08099 0.01 1 22 0
1028 296.686 8.08099 0.01 1 21 0
1078 296.686 8.08099 0.01 1 22 0
1134 311.042 8.36809 0.01 1 72 0
1165 307.275 7.62793 0.01 1 72 0
1170 296.686 8.08099 0.01 1 21 0
1179 295.39 8.08099 0.01 1 22 0
1206 304.277 8.14113 0.01 1 72 0
1255 296.686 8.08099 0.01 1 22 0
1274 295.09 8.1925 0.01 1 22 0
1282 296.686 8.08099 0.01 1 22 0
1303 296.686 8.06669 0.01 1 22 0
1360 296.686 8.08099 0.01 1 22 0
1380 308.921 7.81022 0.01 1 72 0
1460 296.686 8.08099 0.01 1 22 0
1470 296.686 8.08099 0.01 1 22 0
1495 296.686 8.08099 0.01 1 21 0
1497 293.169 8.08099 0.01 1 22 0
1579 311.505 7.999 0.01 1 72 0
1623 295.631 8.08099 0.01 1 22 0
1658 296.686 8.08099 0.01 1 22 0
1691 321.803 7.91525 0.01 1 109 0.00201367
1754 309.244 7.95858 0.01 1 72 0
1822 308.921 7.81022 0.01 1 72 0
1832 294.31 8.1925 0.01 1 22 0
1901 295.631 8.08099 0.01 1 22 0
1926 296.686 8.08099 0.01 1 22 0
1954 295.09 8.1925 0.01 1 21 0
2138 310.171 8.16469 0.01 1 72 0
2206 309.244 7.95858 0.01 1 72 0
2235 295.09 8.1925 0.01 1 22 0
2262 307.389 7.62793 0.01 1 72 0
2264 321.6 7.70765 0.01 1 109 0
2321 309.699 7.91663 0.01 1 72 0
2329 295.792 8.09195 0.01 1 22 0
2356 296.686 8.08099 0.01 1 22 0
2387 321.6 7.72074 0.01 1 108 0
2407 295.631 8.08099 0.01 1 22 0
2463 306.948 8.13028 0.01 1 72 0
2495 307.389 7.62793 0.01 1 72 0
2513 322.293 7.72082 0.01 1 108 0
2531 322.438 7.67302 0.01 1 108 0
2565 296.686 8.08099 0.01 1 22 0
2588 296.686 8.08099 0.01 1 22 0
2597 309.756 8.03105 0.01 1 72 0.00401543
2722 306.012 8.34583 0.01 1 72 0
2903 321.803 7.72074 0.01 1 109 0
2904 296.686 8.08099 0.01 1 21 0
2913 304.277 8.14113 0.01 1 72 0
2924 310.504 7.98292 0.01 1 72 0
3002 321.6 7.72074 0.01 1 110 0
3012 322.34 7.72074 0.01 1 109 0.00758705
3024 296.686 8.08099 0.01 1 21 0
3048 311.505 7.999 0.01 1 72 0
3060 307.389 7.62793 0.01 1 72 0
3077 296.686 8.08099 0.01 1 21 0
3138 308.832 8.15489 0.01 1 72 0
3148 310.504 7.98292 0.01 1 72 0
3190 295.09 8.1925 0.01 1 21 0
3196 295.631 8.08099 0.01 1 22 0
3221 296.686 8.08099 0.01 1 21 0
3269 321.803 7.56348 0.01 1 109 0
3284 308.44 7.85889 0.01 1 72 0
3315 296.686 8.08099 0.01 1 21 0
3417 307.578 8.06486 0.01 1 72 0
3425 296.686 8.08099 0.01 1 22 0
3430 296.686 8.09195 0.01 1 21 0
3437 306.577 8.63803 0.01 1 72 0
3527 309.077 7.93138 0.01 1 72 0
3570 296.686 8.08099 0.01 1 22 0
3688 296.686 8.08099 0.01 1 22 0
3694 296.686 8.08099 0.01 1 22 0
3711 297.555 8.16816 0.01 1 22 0
3820 296.686 8.08099 0.01 1 22 0
3866 296.686 8.08099 0.01 1 21 0
3891 296.686 8.08099 0.01 1 21 0
3918 306.577 8.63803 0.01 1 72 0
3928 309.699 7.91663 0.01 1 72 0
3933 296.686 8.08099 0.01 1 22 0
3936 310.504 7.98292 0.01 1 72 0
3941 296.686 8.08099 0.01 1 22 0
3969 308.564 7.92955 0.01 1 72 0
4028 306.719 8.34583 0.01 1 72 0
4036 308.832 8.15489 0.01 1 72 0
4051 296.686 8.19693 0.01 1 22 0
4100 307.453 8.43476 0.01 1 72 0
4131 296.686 8.08099 0.01 1 21 0
4224 296.686 8.08099 0.01 1 22 0
4350 308.832 8.15489 0.01 1 72 0
4363 296.686 8.08099 0.01 1 22 0
4375 294.464 8.1925 0.01 1 22 0
4418 296.686 8.08099 0.01 1 22 0
4432 296.686 8.08099 0.01 1 22 0
4468 296.686 8.09195 0.01 1 21 0
4587 296.686 8.08099 0.01 1 21 0
4592 306.577 8.63803 0.01 1 72 0
4619 296.686 8.08099 0.01 1 22 0
4627 294.423 8.1925 0.01 1 21 0
4675 311.106 8.53022 0.01 1 72 0
4685 307.389 7.62793 0.01 1 72 0
4713 296.686 8.08099 0.01 1 21 0
4761 311.505 7.999 0.01 1 72 0
4763 307.275 7.54193 0.01 1 72 -0.000113532
4768 307.389 7.62793 0.01 1 72 0
4846 306.012 8.29234 0.01 1 72 0
4888 296.686 8.08099 0.01 1 21 0
4911 296.686 8.08099 0.01 1 22 0
4942 310.493 8.25473 0.01 1 72 0
4956 307.389 7.62793 0.01 1 72 0
5019 296.686 8.06669 0.01 1 22 0
5047 296.686 8.08099 0.01 1 21 0
5068 321.506 7.74484 0.01 1 108 0.000729546
5085 307.389 7.62793 0.01 1 72 0
5212 295.932 8.08099 0.01 1 22 0
5230 295.09 8.1925 0.01 1 22 0
5255 322.826 7.72082 0.01 1 108 0
5324 296.686 8.08099 0.01 1 21 0
5361 296.686 8.06669 0.01 1 21 0
